,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
2,ODSC Vancouver Data Science,Vancouver,Canada,US/Canada,357,https://www.meetup.com/ODSC-Vancouver-Data-Science/,22-11-2019,58,1,public,02-06-2021
3,ODSC Denver Data Science,Denver,USA,US/Canada,167,https://www.meetup.com/ODSC-Denver-Data-Science/,22-11-2019,67,1,public,02-06-2021
6,Clarksville Data Science and R Users Meetup Group,Clarksville,USA,US/Canada,26,https://www.meetup.com/Clarksville-Data-Science-and-R-Users-Meetup-Group/,13-06-2019,2,0,public,11-08-2019
7,R UseR Group at Harvard Data Science Initiative,Cambridge,USA,US/Canada,51,https://www.meetup.com/r-user-group-at-harvard-data-science-initiative/,25-05-2021,1,0,public,10-06-2021
8,FREE ! Learn R for Big Data / Data Science,London,United Kingdom,Europe,839,https://www.meetup.com/Learn-R-for-Big-Data/,31-08-2018,46,0,public,23-12-2020
9,Bangalore Data Science and Analytics Using R Meetup,Bangalore,India,Asia,223,https://www.meetup.com/Bangalore-Data-Science-and-Analytics-Using-R-Meetup/,09-11-2018,0,0,public,01-01-1970
13,BerlinR - an R group focused on modern data science,Berlin,Germany,Europe,630,https://www.meetup.com/BerlinR-R-users-group/,23-10-2018,8,0,public,05-02-2020
14,Greater Cleveland Python/Julia/R Data Science Group,Cleveland,USA,US/Canada,589,https://www.meetup.com/Greater-Cleveland-SciPy-Julia-R-Data-Science-Group/,12-03-2016,33,0,public_limited,03-08-2019
16,Miami R User Group,Miami,USA,US/Canada,11,https://www.meetup.com/miami-r-user-group/,28-04-2021,0,0,public,01-01-1970
17,LA R users group,Santa Monica,USA,US/Canada,2364,https://www.meetup.com/Los-Angeles-R-Users-Group-Data-Science/,21-03-2009,129,0,public,19-05-2021
18,R User Group Eindhoven,Eindhoven,Netherlands,Europe,102,https://www.meetup.com/R-User-Group-Eindhoven/,28-02-2019,11,0,public,24-01-2021
19,Las Vegas R User Group,Las Vegas,USA,US/Canada,29,https://www.meetup.com/Las-Vegas-R-User-Group/,28-09-2018,0,0,public,01-01-1970
20,Seoul R Meetup Group,Seoul,Korea (South),Asia,242,https://www.meetup.com/seoul-r-meetup/,08-08-2020,8,0,public,14-04-2021
21,Montreal R User Group,Montréal,Canada,US/Canada,1636,https://www.meetup.com/Montreal-R-User-Group/,13-03-2012,105,5,public,09-06-2021
22,Eskisehir R Users Group & ESTÜ Veri Bilimi Kulübü,Eskisehir,Turkey,Europe,101,https://www.meetup.com/Eskisehir-R-Users-Group-Data-Science-Society/,28-02-2020,11,0,public,16-04-2021
23,Colchester R Meetup,Colchester,United Kingdom,Europe,289,https://www.meetup.com/Colchester-R-Meetup/,16-04-2018,16,0,public,22-10-2020
24,Phoenix R User Group,Phoenix,USA,US/Canada,883,https://www.meetup.com/Phoenix-R-User-Group/,16-04-2016,18,0,public,24-08-2018
25,The Chicago R User Group (CRUG),Chicago,USA,US/Canada,3863,https://www.meetup.com/Chicago-R-User-Group/,05-04-2010,79,1,public,19-02-2020
26,Orange County R Users Group (OCRUG),Irvine,USA,US/Canada,795,https://www.meetup.com/OC-RUG/,17-12-2014,100,1,public,19-05-2021
27,University of Ibadan R Users Group (UI RUG),Ibadan,Nigeria,Africa,89,https://www.meetup.com/University-of-Ibadan-R-Users-Group-UI-RUG/,14-02-2020,1,0,public,07-03-2020
28,Applied R Munich,München,Germany,Europe,1179,https://www.meetup.com/Applied-R-Munich/,16-10-2015,14,0,public,11-12-2020
29,Oxford R User Group,Oxford,United Kingdom,Europe,588,https://www.meetup.com/Oxford-R-User-Group/,17-08-2017,23,0,public,03-02-2020
30,Poznan R Users Group (PAZUR),Poznan,Poland,Europe,624,https://www.meetup.com/Poznan-R-User-Group-PAZUR/,27-11-2015,23,0,public,30-01-2020
31,Chico R Users Group,Chico,USA,US/Canada,58,https://www.meetup.com/Chico-R-Users-Group/,07-12-2015,86,0,public,12-08-2020
32,Cebu R Users Group (CRUG),Cebu,Philippines,Asia,58,https://www.meetup.com/Cebu-R-Users-Group-CRUG/,17-09-2014,2,0,public_limited,19-03-2015
33,R User Group Kano,Kano,Nigeria,Africa,23,https://www.meetup.com/r-user-group-kano/,28-11-2020,1,0,public,17-01-2021
34,Rhus - useR group,Århus,Denmark,Europe,237,https://www.meetup.com/Rhus-useR-group/,19-01-2015,5,0,public,03-12-2019
35,Bauru R Big Data Analytics Meetup,Bauru,Brazil,Latin America,50,https://www.meetup.com/Bauru-R-Big-Data-Analytics-Meetup/,22-05-2016,0,0,public,01-01-1970
37,Bengaluru R UseR Group (BRUG),Bangalore,India,Asia,1853,https://www.meetup.com/BengaluRu-use-R-gRoup/,28-08-2018,18,0,public,28-02-2021
38,Lansing Area R Users Group,East Lansing,USA,US/Canada,220,https://www.meetup.com/Lansing-Area-R-Users-Group/,24-01-2012,31,0,public,09-03-2020
39,Milwaukee R Meetup,Milwaukee,USA,US/Canada,300,https://www.meetup.com/Milwaukee-R-Meetup/,05-06-2015,9,0,public,19-03-2020
