Year,Subject,Calendar Name,Created By,Updated By,Who,Location,Description,Tags,Session name
2021,R for Non-Programmers: Creating Paradigm Shifts in Reporting for Community-Facing Organizations Using R,Regular talks > Track A,UseR! 2021,UseR! 2021,"Kulka, Lisa",The Lounge #talk_community_outreach_1,"The automation of reporting processes for community-based organizations working with diverse communities has created a paradigm shift in the way they can approach quality improvement, allocate time and resources to data analyses and management, and utilize various kinds of data to support the communities with which they work.

  
At CCNY, a nonprofit organization that supports the evaluation and analytics work of community-facing organizations, the use of R to generate and enhance reporting schema has made a significant impact for those who have little to no programming experience. The most successful projects leading to increased organizational effectiveness via use of R with non-programmers include CCNY’s support of its local county’s Children’s System of Care. Non-automated data reporting and management created challenges in terms of credential tracking and ensuring children and families were receiving appropriate services. CCNY deployed R to pre-process and automate training data, generating reports that predict which community providers are eligible to render services. This new organizational ability created streamlined reporting processes that led to non-programmers running R and applying this newly-established data framework to automate other data-related tasks, including dramatically increasing community impact by reducing data processing time, making faster decisions informed by real-time data, and leveraging increased data processing capabilities to improve overall organizational capacity.

  
In this session, we will review specific features of the project’s unique code used to establish streamlined automated reporting for those with limited R proficiency, as well as the project input, the output deliverables, and techniques for engaging non-programmers in the logistics of building R schema so that basic principles of automated reporting can be understood and easily generalized within and outside of community-facing organizations.",Community and Outreach,1A - Community and Outreach 1
2021,"RcppDeepState, a simple way to fuzz test R packages.",Regular talks > Track B,UseR! 2021,UseR! 2021,"Chowdary Kolla, Akhila",The Lounge #talk_packages_1,"R packages are typically tested using expected input/output pairs that are manually coded by package developers. These manually written tests are validated under various CRAN checks that perform both static and dynamic analysis. Manually written tests could still allow subtle bugs, if they do not anticipate all possible inputs, and miss important code paths. In contrast to manually written tests, fuzzers are programs that pass random, unexpected, potentially invalid inputs to a function, expecting it to break or identify subtle bugs.","Interfaces with other programming languages, Other, R in production",1B - R packages 1
2021,rOpenSci’s Model for Managing a Federated Open Source Software Community,Regular talks > Track A,UseR! 2021,UseR! 2021,"Butland, Stefanie",The Lounge #talk_community_outreach_1,"rOpenSci hosts over 350 staff- and community-contributed R packages. We have evolved a unique model of community management to support the complex needs of people who develop, review, and use these packages.

  
The Community Participation Model from the Center for Scientific Collaboration and Community Engagement (<http://doi.org/10.5281/zenodo.3997802>) provides a framework to assess how community members interact with programs and each other. The four modes on a continuum are: Convey/Consume; Contribute; Collaborate; Co-create. Engagement among rOpenSci community members happens primarily in the first three modes. 1) Convey/Consume. One-way dissemination of information via a newsletter, and Community Contributing Guide (<https://contributing.ropensci.org/>) that helps people match their motivations and skills to different ways to contribute. 2) Contribute. Opportunities for members to share knowledge e.g. via our package development guide (<https://devguide.ropensci.org/>), and blog posts written by members that draw attention to their work. 3) Collaborate. Scaffolded activities where members work together e.g. in open software peer-review as authors, reviewers, or editors. Additional programming, such as community calls, provides opportunities for multiple modes of participation at once e.g. by collaborating on developing topics and presenting, contributing by sharing resources and questions and consuming by attending presentations or reading the recaps.

  
Strong social facilitation by a full-time community manager and a team that values trust-based relationships supports community members in modes 1 - 3. We have recently explored what might be required to provide more opportunities for co-creation - mode 4 in the CSCCE Community Participation Model. An interviews-based assessment of community needs and audit of current programming aims to help us understand what people get from the rOpenSci community that they can’t get elsewhere, and how we can best facilitate productive and valuable collaboration and co-creation. We’ll present the results of this work as a methodology for others to consider how to review their own community engagement activities.",Community and Outreach,1A - Community and Outreach 1
2021,R in Regulated Industries: Assessing Risk with {riskmetric},Regular talks > Track B,UseR! 2021,UseR! 2021,"Kelkhoff, Doug",The Lounge #talk_packages_1,"Regulated industries are built on long histories of software validation to bring confidence to the results that they produce. Historically, this validation has come through licensed software — at a time, such software tools were the preferred tool of practitioners. As free and open source tools rise in popularity, the spectrum of preferred tools grows ever wider. Today, R is the preferred language for many graduating statisticians and biologists. Furthermore, the open nature of these tools brings more ready access to bleeding edge methods expected by regulators.

  
While the R world brings some amazing pieces of infrastructure for software quality, there is an inevitable gap in translating open source practices to a validation world that is unfamiliar with open software development. With {riskmetric}, we have built a platform for implementing such quality assessments. From code quality to community engagement, we hope to characterize R packages to an extent that industry players can be confident that they can stand behind the tools they use when presenting analysis and software to regulators.

  
Here we present the {riskmetric} package and surrounding tools to help support R package validation, show how we’ve built a foundation for pulling metrics from a diverse set of information sources and provide next steps in the R Validation Hub’s roadmap to help bridge the gap toward open source tools in regulated industries.","Interfaces with other programming languages, Other, R in production",1B - R packages 1
2021,R Developer's Guide,Regular talks > Track A,UseR! 2021,UseR! 2021,"Bhogal, Saranjeet Kaur Satnam Singh",The Lounge #talk_community_outreach_1,"The R Developer's Guide (https://github.com/forwards/rdevguide) is an open-source project that aims to facilitate the on-boarding of new contributors to R Core development. New contributors to R are often not aware of where they can start contributing to the development of R. This guide helps in providing ways by which you could start contributing. How would you report a bug? What is the procedure to submit a patch? How could you help improve the documentation? These are some of the questions which new contributors may not have an idea about. In this talk, I will discuss these procedures. I will also walk through this guide for new contributors interested in referring to it for their contributions.",Community and Outreach,1A - Community and Outreach 1
2021,{poorman} - A dependency free recreation of {dplyr},Regular talks > Track B,UseR! 2021,UseR! 2021,"Eastwood, Nathan Wayne",The Lounge #talk_packages_1,"{poorman} is a package that unapologetically attempts to recreate the {dplyr} API in a dependency free way using only {base} R. {poorman} is still under development and doesn’t have all of {dplyr}’s functionality but what is considered the """"core"""" functionality is included and the package is available on CRAN at: <https://cran.r-project.org/web/packages/poorman/>. The idea behind {poorman} is that a user should be able to take a {dplyr} based script and run it using {poorman} without any hiccups.

{poorman} provides a consistent set of verbs that help you solve the most common data manipulation challenges:

- select() picks variables based on their names.
- mutate() adds new variables that are functions of existing variables.
- filter() picks cases based on their values.
- summarise() reduces multiple values down to a single summary.
- arrange() changes the ordering of the rows.","Interfaces with other programming languages, Other, R in production",1B - R packages 1
2021,Packages submission and reviews; how does it work?,Regular talks > Track A,UseR! 2021,UseR! 2021,"Revilla Sancho, Lluís",The Lounge #talk_community_outreach_1,"We benefit from others’ work on R and also by shared packages and for our programming tasks. Occasionally we might generate some piece of software that we want to share with the community. Usually sharing our work with the R community means submitting a package to an archive (CRAN, Bioconductor or others). While each individual archive has some rules they share some common principles.

  
If your package follows their rules about the submission process and has a good quality according to their rules it will be included. All submissions have some common sections: First, an initial screening; second, a more profound manual review of the code. Then, if the suggestions are applied or correctly replied then the package is included in the archive.

  
On each step some rules and criteria are used to decide if the package moves forward or not. Understanding what these rules say, common problems and comments from reviewers will help avoiding submitting a package to get it rejected. Reducing the friction between sharing our work, providing useful packages to the community and minimizing reviewers’ time and efforts.

  
Looking at the review process of three archives of R packages, CRAN, Bioconductor and rOpenSci, I’ll explain common rules, patterns, timelines and checks required to get the package included, as well as personal anecdotes with them. The talk is based on the post analyzing reviews available here: <https://llrs.dev/tags/reviews/>",Community and Outreach,1A - Community and Outreach 1
2021,Questions,Regular talks > Track B,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_packages_1,Last questions for all the speakers,Community and Outreach,1B - R packages 1
2021,Questions,Regular talks > Track A,UseR! 2021,UseR! 2021,All presenters in the session,The Lounge #talk_community_outreach_1,Last questions for all the speakers,Community and Outreach,1A - Community and Outreach 1
2021,Solving Big Data Problems with Apache Arrow,Regular talks > Track A,UseR! 2021,UseR! 2021,"Richardson, Neal",The Lounge #talk_data_management,"As distributed computing platforms and data warehouses become more prevalent, R users face new challenges in working with the data they generate and store. From R, we may need to analyze a dataset that is too big to fit into memory, is split across many files, is hosted on cloud storage, or was produced by systems using other languages. The {arrow} package helps to solve these integration problems, allowing R users to employ familiar, idiomatic R code to work with larger-than-memory datasets on their own workstations. This presentation will discuss several of these common challenges people face when working with bigger data, and using case studies from the community, it will demonstrate how Arrow can help solve these problems.",Databases / Data management,2A - Data Management
