,name,city,country,region,members,fullurl,created,past_events,upcoming_events,visibility,last_event
1,Customer Data Science LA,Santa Monica,USA,US/Canada,620,https://www.meetup.com/Customer-Data-Science-LA/,20-06-2019,14,0,public_limited,01-10-2020
4,Ulmer Data Science Stammtisch,Ulm,Germany,Europe,405,https://www.meetup.com/Ulmer-Data-Science-Stammtisch/,06-12-2017,10,0,public,25-11-2019
5,Western Mass Statistics and Data Science,Northampton,USA,US/Canada,529,https://www.meetup.com/Pioneer-Valley-and-Five-College-R-Statistical-Meetup/,02-01-2013,209,0,public,27-02-2020
10,Mad Over Data | Mumbai,Mumbai,India,Asia,215,https://www.meetup.com/Mad-Over-Data/,02-01-2020,4,0,public,16-08-2020
11,Mad Over Data | Delhi NCR,Delhi,India,Asia,419,https://www.meetup.com/Mad-Over-Data-Delhi-NCR/,07-01-2020,6,0,public,16-08-2020
12,Mad Over Data | Bangalore,Bangalore,India,Asia,431,https://www.meetup.com/Mad-Over-Data-Bangalore/,23-01-2020,5,0,public,16-08-2020
15,Master Cohorts,Nairobi,Kenya,Africa,262,https://www.meetup.com/Master-Data-Science/,03-04-2020,1,0,public,25-04-2020
36,Bhavnagar Data Analysis Meetup,Bhavnagar,India,Asia,35,https://www.meetup.com/Bhavnagar-Data-Analysis-Meetup/,15-06-2014,0,0,public,01-01-1970
40,Data Analytics GDL User Group,Guadalajara,Mexico,Latin America,320,https://www.meetup.com/Data-Analytics-GDL-User-Group/,13-04-2017,2,0,public,08-12-2017
41,Vancouver Data Visualization,Vancouver,Canada,US/Canada,4374,https://www.meetup.com/Vancouver-Data-Visualization/,14-03-2011,44,0,public,04-02-2021
45,Microsoft Advanced Analytics User Group,Mechelen,Belgium,Europe,764,https://www.meetup.com/Microsoft-Advanced-Analytics-User-Group/,17-11-2017,13,0,public,15-04-2019
46,Chile Elastic User Group,Santiago,Chile,Latin America,38,https://www.meetup.com/chile-elastic-user-group/,18-02-2021,4,0,public,08-06-2021
82,Indore Hadoop User Group,Indore,India,Asia,455,https://www.meetup.com/Indore-Hadoop-User-Group/,01-08-2014,0,0,public,01-01-1970
94,Alteryx Meet and Greet Brisbane,Brisbane,Australia,Australia,19,https://www.meetup.com/Alteryx-User-Group-Brisbane/,24-04-2016,7,0,public,12-06-2019
156,Collin County Data Science Education,Plano,USA,US/Canada,471,https://www.meetup.com/Collin-County-Data-Science-Education/,17-02-2019,14,0,public,23-04-2020
166,Data Science Hub,Mumbai,India,Asia,883,https://www.meetup.com/Data-Science-Hub/,04-05-2019,60,1,public,29-05-2021
167,Lekki Data Science Meetup,Lagos,Nigeria,Africa,2714,https://www.meetup.com/Lekki-Data-Science-Meetup/,06-03-2017,9,0,public,27-06-2020
168,Data Science Nantes,Nantes,France,Europe,582,https://www.meetup.com/Data-Science-Nantes/,03-12-2018,8,0,public,09-03-2021
171,Data Science Curitiba,Curitiba,Brazil,Latin America,1483,https://www.meetup.com/Data-Science-Curitiba/,29-09-2017,14,0,public_limited,11-02-2020
172,Data Science and Machine Learning Meet,Pune,India,Asia,1539,https://www.meetup.com/Data-Science-and-Machine-Learning/,06-12-2017,17,0,public,18-06-2020
173,Python And Data Science For Freshers Training and Workshop,Bangalore,India,Asia,2292,https://www.meetup.com/Python-And-Data-Science-For-Freshers-Training-Workshop/,28-08-2018,5,0,public,30-03-2020
175,Data Science After Dark,Springfield,USA,US/Canada,255,https://www.meetup.com/Data-Science-After-Dark/,22-03-2019,8,0,public,16-06-2020
177,KL Data Science,Kuala Lumpur,Malaysia,Asia,150,https://www.meetup.com/KL-Data-Science/,31-05-2019,0,0,public,01-01-1970
178,Data Science Case Studies and Interview Prep,Mountain View,USA,US/Canada,542,https://www.meetup.com/DSCaseStudies/,29-04-2019,25,0,public,05-07-2020
179,San Francisco Data Science Leadership Meetup,San Francisco,USA,US/Canada,57,https://www.meetup.com/San-Francisco-Data-Science-Leadership-Meetup/,12-02-2020,1,0,public,27-02-2020
180,SF - Bay Area Data Science Initiative,San Francisco,USA,US/Canada,796,https://www.meetup.com/SF-Bay-Area-Data-Science-Initiative/,10-02-2020,86,2,public,24-05-2021
181,Bay Area Data Science Enthusiasts,Palo Alto,USA,US/Canada,2257,https://www.meetup.com/Bay-Area-Data-Science-Enthusiasts/,11-02-2019,163,2,public,24-05-2021
191,Data Science - For Beginners (Hyderabad),Hyderabad,India,Asia,1055,https://www.meetup.com/Data-Science-For-Beginners-Hyderabad/,21-02-2020,70,0,public,12-06-2021
202,Data Science Unplugged,Lisbon,Portugal,Europe,423,https://www.meetup.com/Data-Science-Unplugged/,03-10-2017,7,0,public,13-04-2019
203,Palestine Data Science Meetup,Ramallah,Palestine,Asia,168,https://www.meetup.com/Palestine-Data-Science-Meetup/,21-05-2017,0,0,public,01-01-1970
204,L3 Data Science: A Space to Learn and Grow,London,United Kingdom,Europe,149,https://www.meetup.com/L3-Data-Science-A-Space-to-Learn-and-Grow/,18-06-2020,0,0,public,01-01-1970
205,Data Science Rotterdam,Rotterdam,Netherlands,Europe,985,https://www.meetup.com/Data-Science-Rdm/,07-03-2015,9,0,public,23-09-2020
206,Practical Data Science,Bangalore,India,Asia,4700,https://www.meetup.com/Practical-Data-Science-Workshops-Bangalore/,05-02-2016,23,0,public,01-03-2021
207,"Practical ML, DL & Data Science Group -Webinars & discussion",Bangalore,India,Asia,225,https://www.meetup.com/practical-data-science-group/,06-04-2021,1,0,public,08-05-2021
209,Fresno Data Science Meetup,Fresno,USA,US/Canada,450,https://www.meetup.com/Fresno-Data-Science-Meetup/,17-03-2019,27,0,public,23-04-2021
210,Open Data Science - Christchurch,Christchurch,New Zealand,Australia,21,https://www.meetup.com/Christchurch-Data-Science-Group/,07-03-2019,3,0,public,18-05-2019
211,London Data Science Journal Club,London,United Kingdom,Europe,3411,https://www.meetup.com/London-Data-Science-Journal-Club/,15-06-2015,55,0,public,25-05-2021
212,Fort Collins Data Science,Fort Collins,USA,US/Canada,515,https://www.meetup.com/Fort-Collins-Data-Science/,02-09-2015,135,1,public,21-04-2021
213,Berlin Real World Data Science/Machine Learning Group,Berlin,Germany,Europe,659,https://www.meetup.com/Berlin-Real-World-Data-Science-Machine-Learning-Group/,10-04-2016,0,0,public,01-01-1970
214,"Charlotte Women of Data Science, Machine Learning and AI",Charlotte,USA,US/Canada,123,https://www.meetup.com/Charlotte-Women-of-Data-Science-Deep-Learning-ML-AI/,27-02-2019,1,0,public,20-03-2019
215,Applied Data Science of Atlanta,Atlanta,USA,US/Canada,1200,https://www.meetup.com/Applied-Data-Science-of-Atlanta/,26-04-2015,25,0,public,03-12-2019
219,Data Science Den Haag,Den Haag,Netherlands,Europe,136,https://www.meetup.com/Data-Science-Den-Haag/,07-04-2017,0,0,public,01-01-1970
220,Data Science Retreat,Berlin,Germany,Europe,2093,https://www.meetup.com/Data-Science-Retreat/,07-08-2017,26,0,public,06-04-2021
221,Practical Data Science and Machine Learning,Århus,Denmark,Europe,548,https://www.meetup.com/datasciencedk/,29-03-2014,7,0,public,19-03-2020
222,Data Science for Non-Profits,San Diego,USA,US/Canada,508,https://www.meetup.com/Data-Science-for-Non-Profits/,15-06-2019,23,0,public,13-01-2021
223,Learn Data Science,Vancouver,Canada,US/Canada,5507,https://www.meetup.com/LearnDataScience/,04-04-2015,356,9,public,11-06-2021
224,Data Science Lab,London,United Kingdom,Europe,3086,https://www.meetup.com/data-science-lab/,17-01-2013,48,1,public_limited,27-05-2021
226,Data Science Tbilisi,Tbilisi,Georgia,Asia,1526,https://www.meetup.com/Data-Science-Tbilisi/,05-09-2016,50,0,public,20-05-2021
