Sponsor,Level,Year,URL,Country,Region,lat,lon
Appsilon,Platinum,2021,https://appsilon.com/,Poland,Europe,52.23233297,21.01392663
Rstudio,Platinum,2021,https://www.rstudio.com/about/,United States,North America,42.34899112,-71.03814794
Roche,Platinum,2021,https://www.roche.com/,Switzerland,Europe,47.55865383,7.606011397
ixpantia,Gold,2021,https://www.ixpantia.com/es/,Costa Rica,North America,,
cynkra,Gold,2021,https://www.cynkra.com/,Switzerland,Europe,47.37335078,8.529986951
IISA,Gold,2021,https://www.intindstat.org/,,,,
R Consortium,Gold,2021,https://www.r-consortium.org/,,,,
Open Analytics,Silver,2021,https://www.openanalytics.eu/,Belgium,Europe,51.20086803,4.440067831
MemVerge,Silver,2021,https://memverge.com/,United States,North America,37.40655122,-121.9197055
Jumping Rivers,Bronze,2021,https://www.jumpingrivers.com/,England,United Kingdom,54.97338476,-1.624182567
Datahouse,Bronze,2021,https://www.datahouse.ch/#home-scroll0,Switzerland,Europe,47.36887135,8.538065735
RStudio,Sponsor,2020,https://www.rstudio.com/about/,United States,North America,42.34899112,-71.03814794
Mu Sigma,Sponsor,2020,https://www.mu-sigma.com/contact-us,United States,North America,42.13888888,-87.86235938
H2O.ai,Sponsor,2020,https://www.h2o.ai/company/contact-us/,United States,North America,37.41823594,-122.0957195
DFG,Sponsor,2020,https://www.dfg.de/en/dfg_profile/head_office/index.jsp,Germany,Europe,50.69946789,7.148119363
MeilleureAssurance,Violet,2019,https://www.meilleurtaux.com/comparateur-assurance/index.html,France,Europe,50.6351327,3.071478584
RTE,Bronze,2019,https://about.rte.ie/contact/contact-details/,Ireland,Europe,53.31536397,-6.225631629
ThinkR,Gold,2019,,,,,
EDF,Silver,2019,https://www.edf.org/our-offices,United States,North America,40.73872886,-73.98669522
Deloitte,Platinum,2019,https://www2.deloitte.com/ui/en/footerlinks/office-locator/more-office-details/new-york-national-office.html,United States,North America,40.75951692,-73.9795697
INSEE,Bronze,2019,,,,,
Taylor and Francis,Publisher,2019,https://taylorandfrancis.com/contact/,England,United Kingdom,51.62176115,-1.301561531
JumpingRivers,Violet,2019,https://www.jumpingrivers.com/,England,United Kingdom,54.97338476,-1.624182567
Hyphen Stat,Bronze,2019,https://www.hyphen-stat.com/,France,Europe,43.55122017,1.422854277
Google,Bronze,2019,https://about.google/locations/?region=north-america&office=mountain-view,United States,North America,37.42162285,-122.0841044
Safran,Silver,2019,https://www.safran-group.com/implantation/safran-headquarter,France,Europe,48.83684837,2.270033313
Mango Solutions,Bronze,2019,https://www.mango-solutions.com/,England,United Kingdom,51.44782531,-2.142182814
R++,Violet,2019,,,,,
Airbus,Gold,2019,,,,,
Dacta,Violet,2019,,Wales,United Kingdom,53.04631913,-3.005096637
BVA,Bronze,2019,https://www.bva.bund.de/EN/About-BVA/Offices/offices_node.html,Germany,Europe,50.96999707,6.970717227
L'Oréal,Silver,2019,https://www.loreal.com/en/uki/pages/group/contacts-uki/,France,Europe,48.90039554,2.308523621
ArData,Violet,2019,,,,,
DreamRs,Violet,2019,,,,,
MASCOT NUM,,2019,,,,,
Datakili,Violet,2019,https://datakili.com/en/home/,France,Europe,48.82732058,2.316571477
MaDICS,Violet,2019,,,,,
Médiamétrie,Violet,2019,,,,,
STAT4DECISION,Violet,2019,https://www.stat4decision.com/en/,France,Europe,48.84785348,2.370947523
DataCamp,Silver,2019,https://www.datacamp.com/about,United States,North America,40.74845514,-73.98607422
RStudio,Platinum,2019,https://www.rstudio.com/about/,United States,North America,42.34886425,-71.03814794
R Consortium,Platinum,2019,,,,,
Cambridge University Press,Publisher,2019,https://www.cambridge.org/about-us/contact-us/india,England,United Kingdom,52.18640191,0.131191406
Open Analytics,Silver,2019,https://www.openanalytics.eu/,Belgium,Europe,51.20086803,4.440067831
Springer,Publisher,2019,https://www.springerpub.com/contact-us,United States,North America,40.75431949,-73.98164448
StickerMule,Media,2019,https://www.stickermule.com/en-in/support/what-is-your-business-address,United States,North America,42.9506815,-74.17548656
Microsoft,Platinum,2018,https://www.microsoft.com/en-us/visitorcenter/default,United States,North America,47.641944,-122.127222
RStudio,Platinum,2018,https://www.rstudio.com/about/,United States,North America,42.34886425,-71.03814794
R Consortium,Platinum,2018,,,,,
VergeLabs,Bronze,2018,https://www.vergelabs.ai/,Australia,Oceania,-33.86370834,151.2022895
nab,Bronze,2018,https://www.nab.com.au/,Australia,Oceania,-37.8172737,144.9497478
Alteryx,Bronze,2018,https://www.alteryx.com/company/about-us,United States,North America,33.67133092,-117.8406488
DataCamp,Bronze,2018,https://www.datacamp.com/about,United States,North America,40.74845514,-73.98607422
Springer,Pro-networker,2018,https://www.springerpub.com/contact-us,United States,North America,40.75431949,-73.98164448
CRC Press,Pro-networker,2018,http://www.crcpress.com/,United States,North America,26.38406815,-80.0971972
Educational Measurement Solutions,Pro-networker,2018,,,,,
Statistical Society of Australia,Pro-networker,2018,https://www.statsoc.org.au/Contact-Us,Australia,Oceania,-35.21554009,149.1409551
R-Ladies,Pro-networker,2018,,,,,
Symbolix,Pro-networker,2018,,,,,
StickerMule,Pro-networker,2018,https://www.stickermule.com/en-in/support/what-is-your-business-address,United States,North America,42.9506815,-74.17548656
SAGE Publishing,Pro-networker,2018,https://us.sagepub.com/en-us/nam/contact-us,United States,North America,34.19152775,-118.9274003
Microsoft,Platinum,2017,https://www.microsoft.com/en-us/visitorcenter/default,United States,North America,47.641944,-122.127222
RStudio,Platinum,2017,https://www.rstudio.com/about/,United States,North America,42.34886425,-71.03814794
DataCamp,Platinum,2017,https://www.datacamp.com/about,United States,North America,40.74845514,-73.98607422
R Consortium,Platinum,2017,,,,,
Open Analytics,Platinum,2017,https://www.openanalytics.eu/,Belgium,Europe,51.20086803,4.440067831
Eoda,Gold,2017,,,,,
Oracle,Silver,2017,https://www.oracle.com/in/corporate/contact/field-offices.html,United States,North America,30.24293277,-97.72160725
Mango Solutions,Silver,2017,https://www.mango-solutions.com/,England,United Kingdom,51.44782531,-2.142182814
Alteryx,Silver,2017,https://www.alteryx.com/company/about-us,United States,North America,33.67133092,-117.8406488
H2O.ai,Bronze,2017,https://www.h2o.ai/company/contact-us/,United States,North America,37.41823594,-122.0957195
Google,Bronze,2017,https://about.google/locations/?region=north-america&office=mountain-view,United States,North America,37.42162285,-122.0841044
T&F Academic,Publisher booth,2017,https://taylorandfrancis.com/contact/global-offices/,England,United Kingdom,51.62176115,-1.301561531
SAGE Publishing,Publisher booth,2017,https://us.sagepub.com/en-us/nam/contact-us,United States,North America,34.19152775,-118.9274003
Cambridge University Press,Publisher booth,2017,https://www.cambridge.org/about-us/contact-us/india,England,United Kingdom,52.18640191,0.131191406
Wiley,Publisher booth,2017,https://www.wiley.com/en-us/globallocations,United States,North America,40.73756638,-74.02851566
Springer,Publisher booth,2017,https://www.springerpub.com/contact-us,United States,North America,40.75431949,-73.98164448
Gordon and Betty Moore Foundation,Platinum,2016,https://www.moore.org/,United States,North America,37.40982545,-122.151873
RStudio,Platinum,2016,https://www.rstudio.com/about/,United States,North America,42.34886425,-71.03814794
H2O.ai,Platinum,2016,https://www.h2o.ai/company/contact-us/,United States,North America,37.41823594,-122.0957195
Google,Platinum,2016,https://about.google/locations/?region=north-america&office=mountain-view,United States,North America,37.42162285,-122.0841044
R Consortium,Platinum,2016,,,,,
ebay,Platinum,2016,https://www.ebayinc.com/company/contact-us/,United States,North America,7.295511655,-121.9277456
Rennaissance Technologies,Platinum,2016,https://www.rentec.com/Home.action?index=true,United States,North America,40.93148088,-73.11101176
DataCamp,Platinum,2016,https://www.datacamp.com/about,United States,North America,40.74845514,-73.98607422
Bridgewater,Platinum,2016,https://www.bridgewater.com/,United States,North America,41.17328223,-73.36418041
Oracle,Gold,2016,https://www.oracle.com/in/corporate/contact/field-offices.html,United States,North America,30.24293277,-97.72160725
Microsoft,Gold,2016,https://www.microsoft.com/en-us/visitorcenter/default,United States,North America,47.641944,-122.127222
Two Sigma,Silver,2016,https://www.twosigma.com/offices/,United States,North America,40.723401,-74.004418
Alteryx,Silver,2016,https://www.alteryx.com/company/about-us,United States,North America,33.67133092,-117.8406488
Teradata,Silver,2016,https://www.teradata.co.uk/About-Us/Office-Locations,United States,North America,33.02232085,-117.0924005
Electronic Arts,Silver,2016,"https://www.ea.com/about#:~:text=Headquartered%20in%20Redwood%20City%2C%20California,Zombies%E2%84%A2.",United States,North America,37.52290564,-122.2534728
UPS,Bronze,2016,https://about.ups.com/us/en/our-company/global-presence.html,United States,North America,33.94338479,-84.35968249
Domino,Bronze,2016,,,,,
NYC Data Science Academy,Bronze,2016,https://nycdatascience.com/contact-us/,United States,North America,40.75302925,-73.99263276
SAGE Publishing,Publisher,2016,https://us.sagepub.com/en-us/nam/contact-us,United States,North America,34.19152775,-118.9274003
Cambridge University Press,Publisher,2016,https://www.cambridge.org/about-us/contact-us/india,England,United Kingdom,52.18640191,0.131191406
Wiley,Publisher,2016,https://www.wiley.com/en-us/globallocations,United States,North America,40.73756638,-74.02851566
Springer,Publisher,2016,https://www.springerpub.com/contact-us,United States,North America,40.75431949,-73.98164448
RStudio,Platinum,2015,https://www.rstudio.com/about/,United States,North America,42.34886425,-71.03814794
Revolution Analytics,Platinum,2015,http://www.revolutionanalytics.com/,United States,North America,37.40132818,-122.1112127
Google,Silver,2015,https://about.google/locations/?region=north-america&office=mountain-view,United States,North America,37.42162285,-122.0841044
TIBCO,Gold,2015,https://www.tibco.com/company/locations,United States,North America,37.40792727,-122.1441895
Teradata,Platinum,2015,https://www.teradata.co.uk/About-Us/Office-Locations,United States,North America,33.02232085,-117.0924005
DataRobot,Diamond,2015,https://www.datarobot.com/contact-us/,United States,North America,42.35599114,-71.05392585
Alteryx,Gold,2015,https://www.alteryx.com/company/about-us,United States,North America,33.67133092,-117.8406488
H2O.ai,Gold,2015,https://www.h2o.ai/company/contact-us/,United States,North America,37.41823594,-122.0957195
Open Analytics,Silver,2015,https://www.openanalytics.eu/,Belgium,Europe,51.20086803,4.440067831
DataCamp,Bronze,2015,https://www.datacamp.com/about,United States,North America,40.74845514,-73.98607422
CRC Press,Bronze,2015,http://www.crcpress.com/,United States,North America,26.38406815,-80.0971972
Wiley,Bronze,2015,https://www.wiley.com/en-us/globallocations,United States,North America,40.73756638,-74.02851566
Springer,Bronze,2015,https://www.springerpub.com/contact-us,United States,North America,40.75431949,-73.98164448
Cambridge University Press,Bronze,2015,https://www.cambridge.org/about-us/contact-us/india,England,United Kingdom,52.18640191,0.131191406
Novo Nordisk,Silver,2015,https://www.novonordisk.com/,Denmark,Europe,55.75456169,12.45553308
Hugin,Bronze,2015,https://www.hugin.com/,Denmark,Europe,57.04710343,9.9457312
Vestas,Silver,2015,https://www.vestas.com/en/about/find_vestas,Denmark,Europe,56.19673068,10.18185545
Quantide,Silver,2015,http://www.quantide.com/,Italy,Europe,45.59508653,8.913333473
IBM,Silver,2015,https://www.ibm.com/about,United States,North America,41.10843755,-73.72043556
HP,Gold,2015,https://www.hp.com/us-en/contact-hp/office-locations.html,United States,North America,37.41236287,-122.1484604
RStudio,Platinum,2014,https://www.rstudio.com/about/,United States,North America,42.34886425,-71.03814794
Revolution Analytics,Platinum,2014,http://www.revolutionanalytics.com/,United States,North America,37.40132818,-122.1112127
Oracle,Platinum,2014,https://www.oracle.com/in/corporate/contact/field-offices.html,United States,North America,30.24293277,-97.72160725
Google,Gold,2014,https://about.google/locations/?region=north-america&office=mountain-view,United States,North America,37.42162285,-122.0841044
TIBCO,Silver,2014,https://www.tibco.com/company/locations,United States,North America,37.40792727,-122.1441895
Teradata,Silver,2014,https://www.teradata.co.uk/About-Us/Office-Locations,United States,North America,33.02232085,-117.0924005
DataRobot,Silver,2014,https://www.datarobot.com/contact-us/,United States,North America,42.35599114,-71.05392585
Alteryx,Silver,2014,https://www.alteryx.com/company/about-us,United States,North America,33.67133092,-117.8406488
Facebook,Silver,2014,https://www.facebook.com/,United States,North America,37.48522925,-122.1482966
H2O.ai,Silver,2014,https://www.h2o.ai/company/contact-us/,United States,North America,37.41823594,-122.0957195
Plotly,Bronze,2014,https://plotly.com/about-us/,Canada,North America,45.5279939,-73.5975365
ToutBay,Bronze,2014,,,,,
Open Analytics,Bronze,2014,https://www.openanalytics.eu/,Belgium,Europe,51.20086803,4.440067831
Supstat Analytics,Bronze,2014,https://supstat.com/,United States,North America,40.75309559,-73.99222217
SAGE Publishing,Bronze,2014,https://us.sagepub.com/en-us/nam/contact-us,United States,North America,34.19152775,-118.9274003
CRC Press,Bronze,2014,http://www.crcpress.com/,United States,North America,26.38406815,-80.0971972
Wiley,Bronze,2014,https://www.wiley.com/en-us/globallocations,United States,North America,40.73756638,-74.02851566
Springer,Bronze,2014,https://www.springerpub.com/contact-us,United States,North America,40.75431949,-73.98164448
Cambridge University Press,Bronze,2014,https://www.cambridge.org/about-us/contact-us/india,England,United Kingdom,52.18640191,0.131191406
