Year,Speaker,Presentation_Type,Title,Keywords
2021,Lisa Kulka,Regular talks,R for Non-Programmers: Creating Paradigm Shifts in Reporting for Community-Facing Organizations Using R,Community and Outreach
2021,Akhila Chowdary Kolla,Regular talks,"RcppDeepState, a simple way to fuzz test R packages.","Interfaces with other programming languages, Other, R in production"
2021,Stefanie Butland,Regular talks,rOpenSciâ€™s Model for Managing a Federated Open Source Software Community,Community and Outreach
2021,Doug Kelkhoff,Regular talks,R in Regulated Industries: Assessing Risk with {riskmetric},"Interfaces with other programming languages, Other, R in production"
2021,Saranjeet Kaur Satnam Singh Bhogal,Regular talks,R Developer's Guide,Community and Outreach
2021,Nathan Wayne Eastwood,Regular talks,{poorman} - A dependency free recreation of {dplyr},"Interfaces with other programming languages, Other, R in production"
2021,Lluís Revilla Sancho,Regular talks,Packages submission and reviews; how does it work?,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,Neal Richardson,Regular talks,Solving Big Data Problems with Apache Arrow,Databases / Data management
2021,"Weronika Schary, Filip Paskali",Regular talks,All-in-one smartphone-based system for quantitative analysis of point-of-care diagnostics,Web Applications (Shiny/Dash)
2021,Gabriel Becker,Regular talks,respectables and synthetic.cdisc.data: A framework for creating relational data with application,Databases / Data management
2021,Jonathan Sidi,Regular talks,Unit Testing Shiny App Reactivity,Web Applications (Shiny/Dash)
2021,Peter Meißner,Regular talks,Going Big and Fast - {kafkaesque} for Kafka Access,Databases / Data management
2021,Leon Binder,Regular talks,ShinyQuickStarter: Build Shiny apps interactively with Drag & Drop,Web Applications (Shiny/Dash)
2021,Mark Hornick,Regular talks,Scaling R for Enterprise Data,Databases / Data management
2021,Tobia De Koninck,Regular talks,The ShinyProxy Good News Show,Web Applications (Shiny/Dash)
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,"Joselyn C. Chávez-Fuentes, Erick Cuevas-Fernández, Alejandro Reyes, Leonardo Collado-Torres",Panels and incubators,Incubator: Five principles to grow up your R community,Community and Outreach
2021,,Elevator Pitches,Elevator Pitches 1,EP
2021,Alexander Bernd Hanf,Regular talks,mlr3automl - Automated Machine Learning in R,Data mining / Machine learning / Deep Learning and AI
2021,Lucas van der Meer,Regular talks,Tidy Geospatial Networks in R,Spatial analysis
2021,Mark Padgham,Regular talks,autotest: Automatic testing of R packages,"Efficient programming, R in production"
2021,Katarzyna P?kala,Regular talks,Triplot: model agnostic measures and visualisations for variable importance in predictive models that take into account the hierarchical correlation structure,Data mining / Machine learning / Deep Learning and AI
2021,"Robin Lovelace, Rosa Félix",Regular talks,"slopes: a package for calculated slopes of roads, rivers and other linear (simple) features",Spatial analysis
2021,Mark van der Loo,Regular talks,A fresh look at unit testing with tinytest,"Efficient programming, R in production"
2021,Jonathan Bourne,Regular talks,Getting sprung in R: Introduction to the rsetse package for embedding feature-rich networks,Data mining / Machine learning / Deep Learning and AI
2021,Timothée Giraud,Regular talks,"mapsf, a New Package for Thematic Mapping",Spatial analysis
2021,Sébastien Rochette,Regular talks,{fusen}: Create a package from Rmd files,"Efficient programming, R in production"
2021,Miriam Esteve,Regular talks,An R package for the implementation of Efficiency Analysis Trees and the estimation of technical efficiency,Data mining / Machine learning / Deep Learning and AI
2021,Andrea Gilardi,Regular talks,"osmextract: An R package to download, convert, and import large OpenStreetMap datasets",Spatial analysis
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,Harald Puhr,Regular talks,Let Me Google That for You â€“ Measuring global trends using Google Trends,"Economics / Finance / Insurance, Social sciences"
2021,H. Sherry Zhang,Regular talks,Visual Diagnostics for Constrained Optimisation with Application to Guided Tours,"Data visualisation, Spatial analysis"
2021,"Lorenzo Mazzucchelli, Marco Zanotti",Regular talks,Computing Disposition Effect on Financial Market Data,"Economics / Finance / Insurance, Social sciences"
2021,Pantelis Karapanagiotis,Regular talks,The R Package diseq: Estimation Methods for Markets in Equilibrium and Disequilibrium,"Economics / Finance / Insurance, Social sciences"
2021,Markus Kainu,Regular talks,geofi-package: Facilitating the access to key spatial datasets in Finland,"Data visualisation, Spatial analysis"
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,Michael J. Mahoney,Regular talks,Virtual Environments: Using R as a Frontend for 3D Rendering of Digital Landscapes,"Data visualisation, Spatial analysis"
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,,Elevator Pitches,Elevator Pitches 2,EP
2021,Francesca Vitalini,Panels and incubators,Panel: R User or R Developer? This is the question!,Other
2021,"Heidi Seibold, Heather Turner, Matt Bannert",Panels and incubators,Incubator: The role of the R community in the RSE movement,Community and Outreach
2021,Allison Horst,Regular talks,Developing a datasets based R package to teach environmental data science,Teaching R/R in Teaching
2021,"Riccardo Fogliato, Shamindra Shrotriya",Regular talks,maars: Tidy Inference under misspecified statistical models in R,"Data mining / Machine learning / Deep Learning and AI, Operational research and optimization, Statistical models"
2021,Zhian N. Kamvar,Regular talks,Using R as a Community Workbench for The Carpentries Lesson Infrastructure,Teaching R/R in Teaching
2021,Martin Binder,Regular talks,"Mixed Integer Evolutionary Strategies with \\miesmuschel\\","Data mining / Machine learning / Deep Learning and AI, Operational research and optimization, Statistical models"
2021,Mine Dogucu,Regular talks,Teaching and Learning Bayesian Statistics with {bayesrules},Teaching R/R in Teaching
2021,Sevvandi Kandanaarachchi,Regular talks,Here is the anomolow-down!,"Data mining / Machine learning / Deep Learning and AI, Operational research and optimization, Statistical models"
2021,Mine Cetinkaya-Rundel,Regular talks,Building and maintaining OpenIntro using the R ecosystem,Teaching R/R in Teaching
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,All presenters in the session,Regular talks,Questions,Community and Outreach
2021,"Adithi R. Upadhya, Dr. Janani Ravi",Panels and incubators,Incubator: Strategies to build a strong AsiaR Community,Community and Outreach
2021,Philippe Heymans Smith,Regular talks,Easy R Markdown reporting with chronicle,Data visualisation
2021,Frank Berry,Regular talks,Sponsored Talk by MemVerge,R in production
2021,Stuart Lee,Regular talks,virgo: a layered interactive grammar of graphics in R,Data visualisation
2021,Maximilian Held,Regular talks,Bridging the Unproductive Valley: Building Data Products Strictly Without Magic,R in production
2021,Ursula Laa,Regular talks,New displays for the visualization of multivariate data in the tourr package,Data visualisation
2021,Peter Solymos,Regular talks,Data science serverless-style with R and OpenFaaS,R in production
