Session,Title,Speaker,Talk_Type,YouTube,Materials
Biostatistics,Mortality Minder,Karan Bhanot,regular,https://youtu.be/iDeXLL8-co4,https://drive.google.com/file/d/1aT-s4P8x8-VUVXmQAVkJPZzCIkgSPUz4/view?usp=sharing
Biostatistics,pepFunk: peptide-centric functional enrichment for metaproteomic gut microbiome data,Caitlin Simopoulos,regular,https://youtu.be/UZtpi-Bg9i0,https://drive.google.com/file/d/1ypNP1Oy7ssDYFv0qrFrcAP0i033e43G_/view?usp=sharing
Biostatistics,rejustify AI-enhanced ETL engine,Marcin Wolski,regular,https://youtu.be/ML8drcG_1xg,https://drive.google.com/file/d/1748C5K3vObP1W4NwjtoV20wyN-5bcjGd/view?usp=sharing
Biostatistics,Building descriptive tables with the updated compareGroups package,Isaac Subirana,lightning,https://youtu.be/BIQxUO39Erg,https://drive.google.com/file/d/16JXm97r7q-zps0Rit4VhO9C_zfp0-yvl/view?usp=sharing
Biostatistics,MeningiOMICS,Kaitlyn O’Shea,lightning,https://youtu.be/zjaJRw7Atus,https://drive.google.com/file/d/1uxjbYhgjFg1PFFxx7qnlWoOx9P0UkMAP/view?usp=sharing
Biostatistics,Methods of report generation in clinical trials using R and knitr,Alessio Maggiorelli,lightning,https://youtu.be/zbhRkb9UP7U,https://drive.google.com/file/d/17cI2a60AqJZUH5XsUnByeSifeYsn-Nhy/view?usp=sharing
Biostatistics,Robust alternatives for comparing time-event survival curves with R,Lubomir Stepanek,lightning,https://youtu.be/y6nVmbrsrJw,https://drive.google.com/file/d/1_fsa2H1GcQOZT8ZuaylwrXUsQboZ2dP_/view?usp=sharing
Biostatistics,Comparing the Treatment Regimen of Newly Diagnosed Pediatric Leukemia Patients,Sierra Davis,poster,https://youtu.be/qToKh1qev2c,https://drive.google.com/file/d/1svK2zrU2LZDS29Lq7Xi1ty3Yv3U6ACZE/view?usp=sharing
Biostatistics,MUACz: An R Package for Generating MUAC and BMI z-scores and Percentiles for Children and Adolescents,Lazarus Mramba,poster,https://youtu.be/tGx2Apq3VWw,https://drive.google.com/file/d/1VwEp4bxBnVdx33JsFAHhgP4OvA9HL4Ot/view?usp=sharing
Community,Communities of practice in Latin America: R and Friends,Laura Acion et al,regular,https://youtu.be/gtRntU2J3Cg,https://drive.google.com/file/d/1WeEs23nj58RRgEibaeNAtwKED2LaAxm2/view?usp=sharing
Community,R community explorer: the state of R,Rick Pack (Ben Ubah),regular,https://youtu.be/7F7iQdcV8RY,https://drive.google.com/file/d/106pZRYg-zHYWnjshI-ptQzywuNZxAUaP/view?usp=sharing
